lab,grade,fake_name
lab_04,2,vigorous-chandrasekhar
lab_05,2,vigorous-chandrasekhar
lab_06a,2,vigorous-chandrasekhar
lab_06b,3,vigorous-chandrasekhar
lab_07,2,vigorous-chandrasekhar
lab_08,2,vigorous-chandrasekhar
lab_09,2,vigorous-chandrasekhar
lab_10,3,vigorous-chandrasekhar
lab_11a,2,vigorous-chandrasekhar
lab_11b,3,vigorous-chandrasekhar
lab_12,2,vigorous-chandrasekhar
lab_13,3,vigorous-chandrasekhar
lab_14,3,vigorous-chandrasekhar
lab_15a,2,vigorous-chandrasekhar
lab_15b,0,vigorous-chandrasekhar
lab_16,2,vigorous-chandrasekhar
lab_17,0,vigorous-chandrasekhar
lab_18,0,vigorous-chandrasekhar
lab_19a,0,vigorous-chandrasekhar
lab_19b,No Submission,vigorous-chandrasekhar
lab_02,0,goofy-bohr
lab_03,2,goofy-bohr
lab_04,2,goofy-bohr
lab_05,2,goofy-bohr
lab_06a,2,goofy-bohr
lab_06b,2,goofy-bohr
lab_07,1,goofy-bohr
lab_08,2,goofy-bohr
lab_09,2,goofy-bohr
lab_10,3,goofy-bohr
lab_11a,0,goofy-bohr
lab_11b,0,goofy-bohr
lab_12,2,goofy-bohr
lab_13,2,goofy-bohr
lab_14,2,goofy-bohr
lab_15a,1,goofy-bohr
lab_15b,2,goofy-bohr
lab_16,2,goofy-bohr
lab_17,2,goofy-bohr
lab_18,0,goofy-bohr
lab_19a,2,goofy-bohr
lab_19b,1.0,goofy-bohr
lab_02,2,eager-mestorf
lab_03,2,eager-mestorf
lab_04,2,eager-mestorf
lab_05,2,eager-mestorf
lab_06a,2,eager-mestorf
lab_06b,3,eager-mestorf
lab_07,2,eager-mestorf
lab_08,2,eager-mestorf
lab_09,2,eager-mestorf
lab_10,3,eager-mestorf
lab_11a,2,eager-mestorf
lab_11b,2,eager-mestorf
lab_12,2,eager-mestorf
lab_13,2,eager-mestorf
lab_14,2,eager-mestorf
lab_15a,2,eager-mestorf
lab_15b,2,eager-mestorf
lab_16,2,eager-mestorf
lab_17,3,eager-mestorf
lab_18,2,eager-mestorf
lab_19a,2,eager-mestorf
lab_19b,2.0,eager-mestorf
